Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
48,01-01-2017,8.67E+15,1,vegetarian spicy miso
49,01-01-2017,9.45E+15,1,soft-shell miso crab ramen
50,01-01-2017,9.45E+15,1,soft-shell miso crab ramen
51,01-01-2017,9.72E+15,3,nagomi shoyu
52,01-01-2017,9.72E+15,3,nagomi shoyu
53,01-01-2017,5.08E+15,1,tori paitan ramen
54,01-01-2017,5.08E+15,1,tori paitan ramen
55,01-01-2017,6.76E+15,1,shio ramen
56,01-01-2017,6.76E+15,1,shio ramen
57,01-01-2017,2.93E+15,2,nagomi shoyu
58,01-01-2017,2.93E+15,2,nagomi shoyu
59,01-01-2017,2.55E+13,1,soft-shell miso crab ramen
60,01-01-2017,2.55E+13,1,soft-shell miso crab ramen
61,01-01-2017,6.83E+15,1,tonkotsu ramen
62,01-01-2017,6.83E+15,1,tonkotsu ramen
63,01-01-2017,6.09E+15,1,truffle butter ramen
64,01-01-2017,6.09E+15,1,truffle butter ramen
65,01-01-2017,6.87E+15,1,spicy miso ramen
66,01-01-2017,6.87E+15,1,spicy miso ramen
67,01-01-2017,6.64E+15,1,burnt garlic tonkotsu ramen
68,01-01-2017,6.64E+15,1,burnt garlic tonkotsu ramen
69,01-01-2017,2.04E+14,2,soft-shell miso crab ramen
70,01-01-2017,2.04E+14,2,soft-shell miso crab ramen
71,01-01-2017,1.65E+14,4,spicy miso ramen
72,01-01-2017,1.65E+14,4,spicy miso ramen
73,01-01-2017,2.32E+15,1,vegetarian spicy miso
74,01-01-2017,2.32E+15,1,vegetarian spicy miso
75,01-01-2017,6.28E+15,3,burnt garlic tonkotsu ramen
76,01-01-2017,6.28E+15,3,burnt garlic tonkotsu ramen
77,01-01-2017,5.37E+15,4,miso crab ramen
78,01-01-2017,5.37E+15,4,miso crab ramen
79,01-01-2017,7.43E+15,3,truffle butter ramen
80,01-01-2017,7.43E+15,3,truffle butter ramen
81,01-01-2017,7.92E+15,3,vegetarian spicy miso
82,01-01-2017,7.92E+15,3,vegetarian spicy miso
83,01-01-2017,9.23E+15,1,tori paitan ramen
84,01-01-2017,9.23E+15,1,tori paitan ramen
85,01-01-2017,5.36E+15,1,tonkotsu ramen
86,01-01-2017,5.36E+15,1,tonkotsu ramen
87,01-01-2017,3.53E+14,1,vegetarian spicy miso
88,01-01-2017,3.53E+14,1,vegetarian spicy miso
89,01-01-2017,3.16E+15,1,tonkotsu ramen
90,01-01-2017,3.16E+15,1,tonkotsu ramen
91,01-01-2017,3.45E+15,1,truffle butter ramen
92,01-01-2017,3.45E+15,1,truffle butter ramen
93,01-01-2017,3.24E+15,1,vegetarian curry + king trumpet mushroom ramen
94,01-01-2017,3.24E+15,1,vegetarian curry + king trumpet mushroom ramen
95,01-01-2017,2.77E+15,1,vegetarian spicy miso
96,01-01-2017,2.77E+15,1,vegetarian spicy miso
97,01-01-2017,1.50E+15,3,truffle butter ramen
98,01-01-2017,1.50E+15,3,truffle butter ramen
99,01-01-2017,1.00E+16,1,nagomi shoyu
100,01-01-2017,1.00E+16,1,nagomi shoyu
101,01-01-2017,9.86E+15,1,truffle butter ramen
102,01-01-2017,9.86E+15,1,truffle butter ramen
103,01-01-2017,6.90E+15,1,tori paitan ramen
104,01-01-2017,6.90E+15,1,tori paitan ramen
